user_id,email_creates_90d,email_publishes_90d,email_tests_90d,ca_template_creates_90d,ai_content_creates_90d,sms_creates_90d,sms_publishes_90d,automation_creates_90d,automation_publishes_90d,builder_active_days_90d,total_builder_events_90d
221824166,14,14,0,0,0,0,0,0,0,26,28
238814682,30,28,0,0,0,0,0,0,0,25,58
230784078,40,33,0,0,0,0,0,0,0,45,73
209582890,49,36,0,0,0,0,0,0,0,40,85
233386922,29,19,0,0,0,0,0,0,0,27,48
211056082,89,41,7,0,0,0,0,0,0,31,137
220906210,60,39,0,0,0,0,0,0,0,46,99
235739458,68,53,0,0,0,0,0,0,0,68,121
239459842,87,74,1,0,0,0,0,0,0,54,162
229736970,358,202,72,0,0,0,0,0,0,61,632
224464882,112,100,4,0,0,0,0,0,0,35,216
237800498,173,100,0,0,0,0,0,0,0,69,273
248579023,13,6,0,0,0,0,0,0,0,11,19
235337378,21,13,0,0,0,0,0,0,0,21,34
201211334,58,39,5,0,0,0,0,0,0,24,102
228957714,145,111,9,0,0,0,0,0,0,60,265
10526927,4,3,0,0,0,0,0,0,0,7,7
55081661,8,7,0,0,0,0,0,0,0,11,15
88885629,6,6,0,0,0,0,0,0,0,12,12
410149,8,8,0,0,0,0,0,0,0,12,16
43444585,14,10,0,0,0,0,0,0,0,6,24
41280565,14,10,0,0,0,0,0,0,0,19,24
51366557,23,11,12,0,0,0,0,0,0,25,46
70353849,13,13,0,0,0,0,0,0,0,22,26
2544250,13,13,0,0,0,0,0,0,0,21,26
21446207,21,15,0,0,0,0,0,0,0,29,36
67256957,21,16,0,0,0,0,0,0,0,25,37
93766813,27,21,1,0,0,0,0,0,0,16,49
40042493,90,78,0,0,0,0,0,0,0,42,168
57474729,36,20,1,0,0,0,0,0,0,32,57
58754813,33,27,2,0,0,0,0,0,0,26,62
67832661,24,21,0,0,0,0,0,0,0,23,45
79552930,21,15,0,0,0,0,0,0,0,22,36
25164551,29,29,0,0,0,0,0,0,0,32,58
65081009,47,37,0,0,0,0,0,0,0,14,84
51732953,171,90,0,0,0,0,0,0,0,50,261
68476909,48,43,3,0,0,0,0,0,0,49,94
80498886,43,39,0,0,0,0,0,0,0,43,82
55758833,58,49,0,0,0,0,0,0,0,59,107
32551970,58,47,0,0,0,0,0,0,0,64,105
11492931,54,49,0,0,0,0,0,0,0,68,103
48385053,67,55,0,0,0,0,0,0,0,45,122
43841701,75,51,0,0,0,0,0,0,0,58,126
28602879,83,57,0,0,0,0,0,0,0,56,140
27617267,140,64,4,0,0,0,0,0,0,46,208
13546871,123,81,0,0,0,0,0,0,0,69,204
51712577,130,105,25,0,0,0,0,0,0,41,260
24866739,118,83,2,0,0,0,0,0,0,60,203
4681494,147,105,1,0,0,0,0,0,0,83,253
40532625,664,265,111,0,0,0,0,0,0,91,1040
10360875,147,126,3,0,0,0,0,0,0,89,276
4736934,156,132,4,0,0,0,0,0,0,59,292
51308973,148,150,0,0,0,0,0,0,0,89,298
92524429,196,140,32,0,19,0,0,0,0,78,368
35433577,178,166,0,0,0,0,0,0,0,76,344
73774558,205,182,0,0,0,0,0,0,0,66,387
34117457,281,258,0,169,0,0,0,0,0,81,539
5391382,4,4,0,0,0,0,0,0,0,4,8
27933603,6,5,0,0,0,0,0,0,0,9,11
14792315,46,13,19,0,0,0,0,0,0,18,78
8482465,14,10,0,0,0,0,0,0,0,14,24
20885155,16,15,0,0,0,0,0,0,0,20,31
21185475,18,13,0,0,0,0,0,0,0,22,31
7409781,15,11,0,0,0,0,0,0,0,23,26
83366,24,19,0,0,0,0,0,0,0,28,43
24994867,75,24,41,0,0,0,0,0,0,60,140
5766230,53,28,0,0,0,0,0,0,0,40,81
4570250,42,36,0,0,0,0,0,0,0,26,78
12394983,50,32,0,0,0,0,0,0,0,29,82
18147855,40,32,0,0,0,0,0,0,0,36,72
11835851,42,33,0,0,0,0,0,0,0,32,75
22691875,42,32,0,0,0,0,0,0,0,38,74
28928523,40,36,0,0,0,0,0,0,0,29,76
8318905,81,61,0,0,0,0,0,0,0,58,142
16658083,182,91,7,0,0,0,0,0,0,60,280
24336003,174,125,29,0,0,0,0,0,0,77,328
17970371,197,130,121,0,0,0,0,0,0,65,448
4011978,565,497,3,0,0,0,0,0,0,68,1065
233140966,10,9,0,0,0,0,0,0,0,15,19
216878494,18,15,1,0,0,0,0,0,0,15,34
